w3, 1/y, x/y, a/y, ax/y, b/y, bx/y, a^2/y, a^2x/y, b^2/y, b^2x/y, b^3/y
-143, 1, -12, -11, 132, -13, 156, 121, -1452, 169, -2028, -2197
528, -1, -23, -22, -506, -24, -552, -484, -11132, -576, -13248, -13824
-255, 1, -16, -15, 240, -17, 272, 225, -3600, 289, -4624, -4913
143, -1, -12, -11, -132, -13, -156, -121, -1452, -169, -2028, -2197
675, -1, -26, -25, -650, -27, -702, -625, -16250, -729, -18954, -19683
-323, 1, -18, -17, 306, -19, 342, 289, -5202, 361, -6498, -6859
80, -1, 9, 10, -90, 8, -72, -100, 900, -64, 576, 512
-224, 1, 15, 16, 240, 14, 210, 256, 3840, 196, 2940, 2744
-899, 1, -30, -29, 870, -31, 930, 841, -25230, 961, -28830, -29791
-8, 1, -3, -2, 6, -4, 12, 4, -12, 16, -48, -64
-575, 1, 24, 25, 600, 23, 552, 625, 15000, 529, 12696, 12167
-99, 1, 10, 11, 110, 9, 90, 121, 1210, 81, 810, 729
3, -1, 2, 3, -6, 1, -2, -9, 18, -1, 2, 1
-624, 1, 25, 26, 650, 24, 600, 676, 16900, 576, 14400, 13824
-48, 1, 7, 8, 56, 6, 42, 64, 448, 36, 252, 216
1, 1, 0, 1, 0, -1, 0, 1, 0, 1, 0, -1
728, -1, 27, 28, -756, 26, -702, -784, 21168, -676, 18252, 17576
399, -1, 20, 21, -420, 19, -380, -441, 8820, -361, 7220, 6859
783, -1, 28, 29, -812, 27, -756, -841, 23548, -729, 20412, 19683
48, -1, 7, 8, -56, 6, -42, -64, 448, -36, 252, 216
-728, 1, -27, -26, 702, -28, 756, 676, -18252, 784, -21168, -21952
24, -1, -5, -4, -20, -6, -30, -16, -80, -36, -180, -21
