w3, 1/y, x/y, a/y, ax/y, b/y, bx/y, a^2/y, a^2x/y, b^2/y, b^2x/y, b^3/y
19400, 1, -21, -20, 420, -22, 462, 400, -8400, 484, -10164, -10648
47038, -1, -28, -27, -756, -29, -812, -729, -20412, -841, -23548, -24389
5068, -1, -13, -12, -156, -14, -182, -144, -1872, -196, -2548, -2744
10400, 1, -17, -16, 272, -18, 306, 256, -4352, 324, -5508, -5832
-28752, -1, 25, 26, -650, 24, -600, -676, 16900, -576, 14400, 13824
16796, 1, -20, -19, 380, -21, 420, 361, -7220, 441, -8820, -9261
574, -1, -6, -5, -30, -7, -42, -25, -150, -49, -294, -343
-25346, -1, 24, 25, -600, 23, -552, -625, 15000, -529, 12696, 12167
12958, -1, -18, -17, -306, -19, -342, -289, -5202, -361, -6498, -6859
-23280, 1, 23, 24, 552, 22, 506, 576, 13248, 484, 11132, 10648
5876, 1, -14, -13, 182, -15, 210, 169, -2366, 225, -3150, -3375
-52204, 1, 30, 31, 930, 29, 870, 961, 28830, 841, 25230, 24389
0, 1, -1, 0, 0, -2, 2, 0, 0, 4, -4, -8
10980, -1, -17, -16, -272, -18, -306, -256, -4352, -324, -5508, -5832
500, 1, -6, -5, 30, -7, 42, 25, -150, 49, -294, -343
-3720, -1, 13, 14, -182, 12, -156, -196, 2548, -144, 1872, 1728
15160, -1, -19, -18, -342, -20, -380, -324, -6156, -400, -7600, -8000
-5100, 1, 14, 15, 210, 13, 182, 225, 3150, 169, 2366, 2197
0, -1, 1, 2, -2, 0, 0, -4, 4, 0, 0, 0
-4706, -1, 14, 15, -210, 13, -182, -225, 3150, -169, 2366, 2197
3740, 1, -12, -11, 132, -13, 156, 121, -1452, 169, -2028, -2197
26448, -1, -23, -22, -506, -24, -552, -484, -11132, -576, -13248, -13824
8700, 1, -16, -15, 240, -17, 272, 225, -3600, 289, -4624, -4913
4030, -1, -12, -11, -132, -13, -156, -121, -1452, -169, -2028, -2197
37854, -1, -26, -25, -650, -27, -702, -625, -16250, -729, -18954, -19683
12308, 1, -18, -17, 306, -19, 342, 289, -5202, 361, -6498, -6859
-1136, -1, 9, 10, -90, 8, -72, -100, 900, -64, 576, 512
-6304, 1, 15, 16, 240, 14, 210, 256, 3840, 196, 2940, 2744
55796, 1, -30, -29, 870, -31, 930, 841, -25230, 961, -28830, -29791
68, 1, -3, -2, 6, -4, 12, 4, -12, 16, -48, -64
-26500, 1, 24, 25, 600, 23, 552, 625, 15000, 529, 12696, 12167
-1804, 1, 10, 11, 110, 9, 90, 121, 1210, 81, 810, 729
-2, -1, 2, 3, -6, 1, -2, -9, 18, -1, 2, 1
-30004, 1, 25, 26, 650, 24, 600, 676, 16900, 576, 14400, 13824
-592, 1, 7, 8, 56, 6, 42, 64, 448, 36, 252, 216
-4, 1, 0, 1, 0, -1, 0, 1, 0, 1, 0, -1
-36452, -1, 27, 28, -756, 26, -702, -784, 21168, -676, 18252, 17576
-14402, -1, 20, 21, -420, 19, -380, -441, 8820, -361, 7220, 6859
-40770, -1, 28, 29, -812, 27, -756, -841, 23548, -729, 20412, 19683
-492, -1, 7, 8, -56, 6, -42, -64, 448, -36, 252, 216
40820, 1, -27, -26, 702, -28, 756, 676, -18252, 784, -21168, -21952
348, -1, -5, -4, -20, -6, -30, -16, -80, -36, -180, -21
