w3, 1/y, x/y, a/y, ax/y, b/y, bx/y, a^2/y, a^2x/y, b^2/y, b^2x/y, b^3/y
-1263/4, 1/4, 21/4, 25/4, 525/4, 17/4, 357/4, 625/4, 13125/4, 289/4, 6069/4, 4913/4
1788/-25, 1/-25, -2/-25, -27/-25, 54/-25, 23/-25, -46/-25, 729/-25, -1458/-25, 529/-25, -1058/-25, 12167/-25
-1605/-10, 1/-10, -25/-10, -35/-10, 875/-10, -15/-10, 375/-10, 1225/-10, -30625/-10, 225/-10, -5625/-10, -3375/-10
-2010/2, 1/2, 26/2, 28/2, 728/2, 24/2, 624/2, 784/2, 20384/2, 576/2, 14976/2, 13824/2
-2517/1, 1/1, 29/1, 30/1, 870/1, 28/1, 812/1, 900/1, 26100/1, 784/1, 22736/1, 21952/1
-1398/-11, 1/-11, -24/-11, -35/-11, 840/-11, -13/-11, 312/-11, 1225/-11, -29400/-11, 169/-11, -4056/-11, -2197/-11
321/-12, 1/-12, 5/-12, -7/-12, -35/-12, 17/-12, 85/-12, 49/-12, 245/-12, 289/-12, 1445/-12, 4913/-12
843/-23, 1/-23, 15/-23, -8/-23, -120/-23, 38/-23, 570/-23, 64/-23, 960/-23, 1444/-23, 21660/-23, 54872/-23
141/-9, 1/-9, 5/-9, -4/-9, -20/-9, 14/-9, 70/-9, 16/-9, 80/-9, 196/-9, 980/-9, 2744/-9
1158/29, 1/29, 22/29, 51/29, 1122/29, -7/29, -154/29, 2601/29, 57222/29, 49/29, 1078/29, -343/29
768/-17, 1/-17, 4/-17, -13/-17, -52/-17, 21/-17, 84/-17, 169/-17, 676/-17, 441/-17, 1764/-17, 9261/-17
93/7, 1/7, 5/7, 12/7, 60/7, -2/7, -10/7, 144/7, 720/7, 4/7, 20/7, -8/7
-426/-2, 1/-2, -12/-2, -14/-2, 168/-2, -10/-2, 120/-2, 196/-2, -2352/-2, 100/-2, -1200/-2, -1000/-2
-1659/8, 1/8, -25/8, -17/8, 425/8, -33/8, 825/8, 289/8, -7225/8, 1089/8, -27225/8, -35937/8
-1233/-6, 1/-6, 21/-6, 15/-6, 315/-6, 27/-6, 567/-6, 225/-6, 4725/-6, 729/-6, 15309/-6, 19683/-6
-174/6, 1/6, -10/6, -4/6, 40/6, -16/6, 160/6, 16/6, -160/6, 256/6, -2560/6, -4096/6
-279/-12, 1/-12, -15/-12, -27/-12, 405/-12, -3/-12, 45/-12, 729/-12, -10935/-12, 9/-12, -135/-12, -27/-12
-165/-18, 1/-18, -19/-18, -37/-18, 703/-18, -1/-18, 19/-18, 1369/-18, -26011/-18, 1/-18, -19/-18, -1/-18
-426/-19, 1/-19, 22/-19, 3/-19, 66/-19, 41/-19, 902/-19, 9/-19, 198/-19, 1681/-19, 36982/-19, 68921/-19
-2082/9, 1/9, -28/9, -19/9, 532/9, -37/9, 1036/9, 361/9, -10108/9, 1369/9, -38332/9, -50653/9
114/-14, 1/-14, 12/-14, -2/-14, -24/-14, 26/-14, 312/-14, 4/-14, 48/-14, 676/-14, 8112/-14, 17576/-14
1950/-26, 1/-26, 0/-26, -26/-26, 0/-26, 26/-26, 0/-26, 676/-26, 0/-26, 676/-26, 0/-26, 17576/-26
-1329/13, 1/13, -25/13, -12/13, 300/13, -38/13, 950/13, 144/13, -3600/13, 1444/13, -36100/13, -54872/13
414/-22, 1/-22, 18/-22, -4/-22, -72/-22, 40/-22, 720/-22, 16/-22, 288/-22, 1600/-22, 28800/-22, 64000/-22
-768/-21, 1/-21, 26/-21, 5/-21, 130/-21, 47/-21, 1222/-21, 25/-21, 650/-21, 2209/-21, 57434/-21, 103823/-21
-255/-28, 1/-28, 29/-28, 1/-28, 29/-28, 57/-28, 1653/-28, 1/-28, 29/-28, 3249/-28, 94221/-28, 185193/-28
213/-25, 1/-25, 23/-25, -2/-25, -46/-25, 48/-25, 1104/-25, 4/-25, 92/-25, 2304/-25, 52992/-25, 110592/-25
-1557/14, 1/14, 27/14, 41/14, 1107/14, 13/14, 351/14, 1681/14, 45387/14, 169/14, 4563/14, 2197/14
-867/23, 1/23, 29/23, 52/23, 1508/23, 6/23, 174/23, 2704/23, 78416/23, 36/23, 1044/23, 216/23
498/13, 1/13, 4/13, 17/13, 68/13, -9/13, -36/13, 289/13, 1156/13, 81/13, 324/13, -729/13
1581/23, 1/23, -5/23, 18/23, -90/23, -28/23, 140/23, 324/23, -1620/23, 784/23, -3920/23, -21952/23
-639/3, 1/3, 15/3, 18/3, 270/3, 12/3, 180/3, 324/3, 4860/3, 144/3, 2160/3, 1728/3
-471/3, 1/3, -13/3, -10/3, 130/3, -16/3, 208/3, 100/3, -1300/3, 256/3, -3328/3, -4096/3
-693/-15, 1/-15, 21/-15, 6/-15, 126/-15, 36/-15, 756/-15, 36/-15, 756/-15, 1296/-15, 27216/-15, 46656/-15
-912/-17, 1/-17, 24/-17, 7/-17, 168/-17, 41/-17, 984/-17, 49/-17, 1176/-17, 1681/-17, 40344/-17, 68921/-17
-1641/13, 1/13, 27/13, 40/13, 1080/13, 14/13, 378/13, 1600/13, 43200/13, 196/13, 5292/13, 2744/13
1371/22, 1/22, 7/22, 29/22, 203/22, -15/22, -105/22, 841/22, 5887/22, 225/22, 1575/22, -3375/22
-2664/-4, 1/-4, 30/-4, 26/-4, 780/-4, 34/-4, 1020/-4, 676/-4, 20280/-4, 1156/-4, 34680/-4, 39304/-4
321/-13, 1/-13, 7/-13, -6/-13, -42/-13, 20/-13, 140/-13, 36/-13, 252/-13, 400/-13, 2800/-13, 8000/-13
-6/1, 1/1, -2/1, -1/1, 2/1, -3/1, 6/1, 1/1, -2/1, 9/1, -18/1, -27/1
-36/11, 1/11, 12/11, 23/11, 276/11, 1/11, 12/11, 529/11, 6348/11, 1/11, 12/11, 1/11
1848/28, 1/28, 14/28, 42/28, 588/28, -14/28, -196/28, 1764/28, 24696/28, 196/28, 2744/28, -2744/28
-1032/-8, 1/-8, 20/-8, 12/-8, 240/-8, 28/-8, 560/-8, 144/-8, 2880/-8, 784/-8, 15680/-8, 21952/-8
1275/-23, 1/-23, 9/-23, -14/-23, -126/-23, 32/-23, 288/-23, 196/-23, 1764/-23, 1024/-23, 9216/-23, 32768/-23
165/7, 1/7, 1/7, 8/7, 8/7, -6/7, -6/7, 64/7, 64/7, 36/7, 36/7, -216/7
-84/-9, 1/-9, 10/-9, 1/-9, 10/-9, 19/-9, 190/-9, 1/-9, 10/-9, 361/-9, 3610/-9, 6859/-9
-810/-18, 1/-18, 24/-18, 6/-18, 144/-18, 42/-18, 1008/-18, 36/-18, 864/-18, 1764/-18, 42336/-18, 74088/-18
1761/-29, 1/-29, -15/-29, -44/-29, 660/-29, 14/-29, -210/-29, 1936/-29, -29040/-29, 196/-29, -2940/-29, 2744/-29
-300/-13, 1/-13, 16/-13, 3/-13, 48/-13, 29/-13, 464/-13, 9/-13, 144/-13, 841/-13, 13456/-13, 24389/-13
-867/15, 1/15, -23/15, -8/15, 184/15, -38/15, 874/15, 64/15, -1472/15, 1444/15, -33212/15, -54872/15
-642/-7, 1/-7, -16/-7, -23/-7, 368/-7, -9/-7, 144/-7, 529/-7, -8464/-7, 81/-7, -1296/-7, -729/-7
-60/-20, 1/-20, 20/-20, 0/-20, 0/-20, 40/-20, 800/-20, 0/-20, 0/-20, 1600/-20, 32000/-20, 64000/-20
-225/-3, 1/-3, -9/-3, -12/-3, 108/-3, -6/-3, 54/-3, 144/-3, -1296/-3, 36/-3, -324/-3, -216/-3
654/-27, 1/-27, 22/-27, -5/-27, -110/-27, 49/-27, 1078/-27, 25/-27, 550/-27, 2401/-27, 52822/-27, 117649/-27
-468/20, 1/20, -24/20, -4/20, 96/20, -44/20, 1056/20, 16/20, -384/20, 1936/20, -46464/20, -85184/2
