w3, 1/y, x/y, a/y, ax/y, b/y, bx/y, a^2/y, a^2x/y, b^2/y, b^2x/y, b^3/y
-1722, 1, 24, 25, 600, 23, 552, 625, 15000, 529, 12696, 12167
-294, 1, 10, 11, 110, 9, 90, 121, 1210, 81, 810, 729
12, -1, 2, 3, -6, 1, -2, -9, 18, -1, 2, 1
-1869, 1, 25, 26, 650, 24, 600, 676, 16900, 576, 14400, 13824
-141, 1, 7, 8, 56, 6, 42, 64, 448, 36, 252, 216
6, 1, 0, 1, 0, -1, 0, 1, 0, 1, 0, -1
2187, -1, 27, 28, -756, 26, -702, -784, 21168, -676, 18252, 17576
1200, -1, 20, 21, -420, 19, -380, -441, 8820, -361, 7220, 6859
2352, -1, 28, 29, -812, 27, -756, -841, 23548, -729, 20412, 19683
147, -1, 7, 8, -56, 6, -42, -64, 448, -36, 252, 216
-2181, 1, -27, -26, 702, -28, 756, 676, -18252, 784, -21168, -21952
75, -1, -5, -4, -20, -6, -30, -16, -80, -36, -180, -21
