w3, 1/y, x/y, a/y, ax/y, b/y, bx/y, a^2/y, a^2x/y, b^2/y, b^2x/y, b^3/y
964, -1, -18, -17, -306, -19, -342, -289, -5202, -361, -6498, -6859
-1579, 1, 23, 24, 552, 22, 506, 576, 13248, 484, 11132, 10648
-580, 1, -14, -13, 182, -15, 210, 169, -2366, 225, -3150, -3375
-2692, 1, 30, 31, 930, 29, 870, 961, 28830, 841, 25230, 24389
5, 1, -1, 0, 0, -2, 2, 0, 0, 4, -4, -8
859, -1, -17, -16, -272, -18, -306, -256, -4352, -324, -5508, -5832
-100, 1, -6, -5, 30, -7, 42, 25, -150, 49, -294, -343
499, -1, 13, 14, -182, 12, -156, -196, 2548, -144, 1872, 1728
1075, -1, -19, -18, -342, -20, -380, -324, -6156, -400, -7600, -8000
-580, 1, 14, 15, 210, 13, 182, 225, 3150, 169, 2366, 2197
-5, -1, 1, 2, -2, 0, 0, -4, 4, 0, 0, 0
580, -1, 14, 15, -210, 13, -182, -225, 3150, -169, 2366, 2197
-424, 1, -12, -11, 132, -13, 156, 121, -1452, 169, -2028, -2197
1579, -1, -23, -22, -506, -24, -552, -484, -11132, -576, -13248, -13824
-760, 1, -16, -15, 240, -17, 272, 225, -3600, 289, -4624, -4913
424, -1, -12, -11, -132, -13, -156, -121, -1452, -169, -2028, -2197
2020, -1, -26, -25, -650, -27, -702, -625, -16250, -729, -18954, -19683
-964, 1, -18, -17, 306, -19, 342, 289, -5202, 361, -6498, -6859
235, -1, 9, 10, -90, 8, -72, -100, 900, -64, 576, 512
-667, 1, 15, 16, 240, 14, 210, 256, 3840, 196, 2940, 2744
-2692, 1, -30, -29, 870, -31, 930, 841, -25230, 961, -28830, -29791
-19, 1, -3, -2, 6, -4, 12, 4, -12, 16, -48, -64
-1720, 1, 24, 25, 600, 23, 552, 625, 15000, 529, 12696, 12167
-292, 1, 10, 11, 110, 9, 90, 121, 1210, 81, 810, 729
4, -1, 2, 3, -6, 1, -2, -9, 18, -1, 2, 1
-1867, 1, 25, 26, 650, 24, 600, 676, 16900, 576, 14400, 13824
-139, 1, 7, 8, 56, 6, 42, 64, 448, 36, 252, 216
8, 1, 0, 1, 0, -1, 0, 1, 0, 1, 0, -1
2179, -1, 27, 28, -756, 26, -702, -784, 21168, -676, 18252, 17576
1192, -1, 20, 21, -420, 19, -380, -441, 8820, -361, 7220, 6859
2344, -1, 28, 29, -812, 27, -756, -841, 23548, -729, 20412, 19683
139, -1, 7, 8, -56, 6, -42, -64, 448, -36, 252, 216
-2179, 1, -27, -26, 702, -28, 756, 676, -18252, 784, -21168, -21952
67, -1, -5, -4, -20, -6, -30, -16, -80, -36, -180, -21
