w3, 1/y, x/y, a/y, ax/y, b/y, bx/y, a2/y, a2x/y, b2/y, b2x/y, b3/y
13, 1, 12, 13, 156, 11, 132, 169, 2028, 121, 1452, 1331
22, -1, 21, 22, -462, 20, -420, -484, 10164, -400, 8400, 8000
-8, 1, -9, -8, 72, -10, 90, 64, -576, 100, -900, -1000
7, -1, 6, 7, -42, 5, -30, -49, 294, -25, 150, 125
-1, -1, -2, -1, -2, -3, -6, -1, -2, -9, -18, -27
-10, 1, -11, -10, 110, -12, 132, 100, -1100, 144, -1584, -1728
-23, -1, -24, -23, -552, -25, -600, -529, -12696, -625, -15000, -15625
17, 1, 16, 17, 272, 15, 240, 289, 4624, 225, 3600, 3375
7, 1, 6, 7, 42, 5, 30, 49, 294, 25, 150, 125
-21, 1, -22, -21, 462, -23, 506, 441, -9702, 529, -11638, -12167
18, -1, 17, 18, -306, 16, -272, -324, 5508, -256, 4352, 4096
5, 1, 4, 5, 20, 3, 12, 25, 100, 9, 36, 27
-15, -1, -16, -15, -240, -17, -272, -225, -3600, -289, -4624, -4913
12, -1, 11, 12, -132, 10, -110, -144, 1584, -100, 1100, 1000
-18, 1, -19, -18, 342, -20, 380, 324, -6156, 400, -7600, -8000
27, -1, 26, 27, -702, 25, -650, -729, 18954, -625, 16250, 15625
-8, -1, -9, -8, -72, -10, -90, -64, -576, -100, -900, -1000
-29, -1, -30, -29, -870, -31, -930, -841, -25230, -961, -28830, -29791
-20, 1, -21, -20, 420, -22, 462, 400, -8400, 484, -10164, -10648
-27, -1, -28, -27, -756, -29, -812, -729, -20412, -841, -23548, -24389
-12, -1, -13, -12, -156, -14, -182, -144, -1872, -196, -2548, -2744
-16, 1, -17, -16, 272, -18, 306, 256, -4352, 324, -5508, -5832
26, -1, 25, 26, -650, 24, -600, -676, 16900, -576, 14400, 13824
-19, 1, -20, -19, 380, -21, 420, 361, -7220, 441, -8820, -9261
-5, -1, -6, -5, -30, -7, -42, -25, -150, -49, -294, -343
25, -1, 24, 25, -600, 23, -552, -625, 15000, -529, 12696, 12167
-17, -1, -18, -17, -306, -19, -342, -289, -5202, -361, -6498, -6859
24, 1, 23, 24, 552, 22, 506, 576, 13248, 484, 11132, 10648
-13, 1, -14, -13, 182, -15, 210, 169, -2366, 225, -3150, -3375
31, 1, 30, 31, 930, 29, 870, 961, 28830, 841, 25230, 24389
0, 1, -1, 0, 0, -2, 2, 0, 0, 4, -4, -8
-16, -1, -17, -16, -272, -18, -306, -256, -4352, -324, -5508, -5832
-5, 1, -6, -5, 30, -7, 42, 25, -150, 49, -294, -343
14, -1, 13, 14, -182, 12, -156, -196, 2548, -144, 1872, 1728
-18, -1, -19, -18, -342, -20, -380, -324, -6156, -400, -7600, -8000
15, 1, 14, 15, 210, 13, 182, 225, 3150, 169, 2366, 2197
2, -1, 1, 2, -2, 0, 0, -4, 4, 0, 0, 0
15, -1, 14, 15, -210, 13, -182, -225, 3150, -169, 2366, 2197
-11, 1, -12, -11, 132, -13, 156, 121, -1452, 169, -2028, -2197
-22, -1, -23, -22, -506, -24, -552, -484, -11132, -576, -13248, -13824
-15, 1, -16, -15, 240, -17, 272, 225, -3600, 289, -4624, -4913
-11, -1, -12, -11, -132, -13, -156, -121, -1452, -169, -2028, -2197
-25, -1, -26, -25, -650, -27, -702, -625, -16250, -729, -18954, -19683
-17, 1, -18, -17, 306, -19, 342, 289, -5202, 361, -6498, -6859
10, -1, 9, 10, -90, 8, -72, -100, 900, -64, 576, 512
16, 1, 15, 16, 240, 14, 210, 256, 3840, 196, 2940, 2744
-29, 1, -30, -29, 870, -31, 930, 841, -25230, 961, -28830, -29791
-2, 1, -3, -2, 6, -4, 12, 4, -12, 16, -48, -64
25, 1, 24, 25, 600, 23, 552, 625, 15000, 529, 12696, 12167
11, 1, 10, 11, 110, 9, 90, 121, 1210, 81, 810, 729
3, -1, 2, 3, -6, 1, -2, -9, 18, -1, 2, 1
26, 1, 25, 26, 650, 24, 600, 676, 16900, 576, 14400, 13824
8, 1, 7, 8, 56, 6, 42, 64, 448, 36, 252, 216
1, 1, 0, 1, 0, -1, 0, 1, 0, 1, 0, -1
28, -1, 27, 28, -756, 26, -702, -784, 21168, -676, 18252, 17576
21, -1, 20, 21, -420, 19, -380, -441, 8820, -361, 7220, 6859
29, -1, 28, 29, -812, 27, -756, -841, 23548, -729, 20412, 19683
8, -1, 7, 8, -56, 6, -42, -64, 448, -36, 252, 216
-26, 1, -27, -26, 702, -28, 756, 676, -18252, 784, -21168, -21952
-4, -1, -5, -4, -20, -6, -30, -16, -80, -36, -180, -21
