w3, 1/y, x/y, a, b
(-1/-3)*(-8), 1/-3, -4/-3, -7, -1
(-1/-2)*(-1314), 1/-2, -10/-2, -12, -8
(-1/-3)*(-236), 1/-3, -7/-3, -10, -4
(-1/-5)*(-140), 1/-5, 1/-5, -4, 6
(-1/3)*(26), 1/3, 0/3, 3, -3
(-1/-7)*(-80), 1/-7, -9/-7, -16, -2
(-1/-3)*(-112), 1/-3, -6/-3, -9, -3
(-1/8)*(-2855), 1/8, -9/8, -1, -17
(-1/7)*(310), 1/7, 10/7, 17, 3
(-1/-8)*(2893), 1/-8, 9/-8, 1, 17
(-1/-7)*(-204), 1/-7, -10/-7, -17, -3
(-1/-4)*(3214), 1/-4, 10/-4, 6, 14
(-1/8)*(61), 1/8, 9/8, 17, 1
(-1/2)*(-921), 1/2, -7/2, -5, -9
(-1/1)*(-1148), 1/1, -8/1, -7, -9
(-1/-9)*(-140), 1/-9, -7/-9, -16, 2
(-1/-10)*(2851), 1/-10, 9/-10, -1, 19
(-1/-5)*(-30), 1/-5, -4/-5, -9, 1
(-1/5)*(-1260), 1/5, -7/5, -2, -12
(-1/-9)*(-506), 1/-9, -4/-9, -13, 5
(-1/7)*(-3690), 1/7, -10/7, -3, -17
(-1/9)*(488), 1/9, 3/9, 12, -6
(-1/-2)*(-357), 1/-2, -7/-2, -9, -5
(-1/-3)*(-424), 1/-3, -8/-3, -11, -5
(-1/10)*(-1958), 1/10, -8/10, 2, -18
(-1/1)*(0), 1/1, -1/1, 0, -2
(-1/-5)*(40), 1/-5, 3/-5, -2, 8
(-1/6)*(-2641), 1/6, -9/6, -3, -15
(-1/-9)*(-250), 1/-9, 4/-9, -5, 13
(-1/-7)*(2836), 1/-7, 9/-7, 2, 16
(-1/-4)*(-18), 1/-4, 2/-4, -2, 6
(-1/1)*(-20), 1/1, -2/1, -1, -3
(-1/8)*(141), 1/8, 5/8, 13, -3
(-1/-4)*(-11), 1/-4, -5/-4, -9, -1
(-1/-5)*(-320), 1/-5, -9/-5, -14, -4
(-1/-2)*(670), 1/-2, 6/-2, 4, 8
(-1/9)*(-1292), 1/9, -7/9, 2, -16
(-1/-5)*(226), 1/-5, 4/-5, -1, 9
(-1/5)*(-3288), 1/5, -10/5, -5, -15
(-1/8)*(313), 1/8, 3/8, 11, -5
(-1/-1)*(574), 1/-1, 6/-1, 5, 7
(-1/1)*(1804), 1/1, 10/1, 11, 9
(-1/-2)*(30), 1/-2, 2/-2, 0, 4
(-1/7)*(-842), 1/7, -6/7, 1, -13
(-1/4)*(-3042), 1/4, -10/4, -6, -14
(-1/7)*(-2768), 1/7, -9/7, -2, -16
