w3, 1/y, x/y, a/y, ax/y, b/y, bx/y, a^2/y, a^2x/y, b^2/y, b^2x/y, b^3/y
-426/-14, 1/-14, -18/-14, -32/-14, 576/-14, -4/-14, 72/-14, 1024/-14, -18432/-14, 16/-14, -288/-14, -64/-14
2076/27, 1/27, -8/27, 19/27, -152/27, -35/27, 280/27, 361/27, -2888/27, 1225/27, -9800/27, -42875/27
681/27, 1/27, 23/27, 50/27, 1150/27, -4/27, -92/27, 2500/27, 57500/27, 16/27, 368/27, -64/27
-2226/6, 1/6, 28/6, 34/6, 952/6, 22/6, 616/6, 1156/6, 32368/6, 484/6, 13552/6, 10648/6
-570/14, 1/14, -20/14, -6/14, 120/14, -34/14, 680/14, 36/14, -720/14, 1156/14, -23120/14, -39304/14
309/-17, 1/-17, 13/-17, -4/-17, -52/-17, 30/-17, 390/-17, 16/-17, 208/-17, 900/-17, 11700/-17, 27000/-17
1023/-27, 1/-27, 19/-27, -8/-27, -152/-27, 46/-27, 874/-27, 64/-27, 1216/-27, 2116/-27, 40204/-27, 97336/-27
-654/13, 1/13, 20/13, 33/13, 660/13, 7/13, 140/13, 1089/13, 21780/13, 49/13, 980/13, 343/13
600/24, 1/24, -20/24, 4/24, -80/24, -44/24, 880/24, 16/24, -320/24, 1936/24, -38720/24, -85184/24
-984/-9, 1/-9, -20/-9, -29/-9, 580/-9, -11/-9, 220/-9, 841/-9, -16820/-9, 121/-9, -2420/-9, -1331/-9
519/-14, 1/-14, 3/-14, -11/-14, -33/-14, 17/-14, 51/-14, 121/-14, 363/-14, 289/-14, 867/-14, 4913/-14
-1371/8, 1/8, -23/8, -15/8, 345/8, -31/8, 713/8, 225/8, -5175/8, 961/8, -22103/8, -29791/8
-2346/-2, 1/-2, 28/-2, 26/-2, 728/-2, 30/-2, 840/-2, 676/-2, 18928/-2, 900/-2, 25200/-2, 27000/-2
594/-19, 1/-19, 12/-19, -7/-19, -84/-19, 31/-19, 372/-19, 49/-19, 588/-19, 961/-19, 11532/-19, 29791/-19
-471/-4, 1/-4, 13/-4, 9/-4, 117/-4, 17/-4, 221/-4, 81/-4, 1053/-4, 289/-4, 3757/-4, 4913/-4
-2061/6, 1/6, 27/6, 33/6, 891/6, 21/6, 567/6, 1089/6, 29403/6, 441/6, 11907/6, 9261/6
-1857/2, 1/2, 25/2, 27/2, 675/2, 23/2, 575/2, 729/2, 18225/2, 529/2, 13225/2, 12167/2
-2022/-11, 1/-11, 28/-11, 17/-11, 476/-11, 39/-11, 1092/-11, 289/-11, 8092/-11, 1521/-11, 42588/-11, 59319/-11
-195/-8, 1/-8, 11/-8, 3/-8, 33/-8, 19/-8, 209/-8, 9/-8, 99/-8, 361/-8, 3971/-8, 6859/-8
1548/23, 1/23, -6/23, 17/23, -102/23, -29/23, 174/23, 289/23, -1734/23, 841/23, -5046/23, -24389/23
114/-14, 1/-14, 12/-14, -2/-14, -24/-14, 26/-14, 312/-14, 4/-14, 48/-14, 676/-14, 8112/-14, 17576/-14
-1233/5, 1/5, -21/5, -16/5, 336/5, -26/5, 546/5, 256/5, -5376/5, 676/5, -14196/5, -17576/5
2022/-30, 1/-30, 14/-30, -16/-30, -224/-30, 44/-30, 616/-30, 256/-30, 3584/-30, 1936/-30, 27104/-30, 85184/-30
915/17, 1/17, -1/17, 16/17, -16/17, -18/17, 18/17, 256/17, -256/17, 324/17, -324/17, -5832/17
-1659/-9, 1/-9, -25/-9, -34/-9, 850/-9, -16/-9, 400/-9, 1156/-9, -28900/-9, 256/-9, -6400/-9, -4096/-9
1401/-28, 1/-28, 17/-28, -11/-28, -187/-28, 45/-28, 765/-28, 121/-28, 2057/-28, 2025/-28, 34425/-28, 91125/-28
420/-13, 1/-13, 4/-13, -9/-13, -36/-13, 17/-13, 68/-13, 81/-13, 324/-13, 289/-13, 1156/-13, 4913/-13
-822/-15, 1/-15, -22/-15, -37/-15, 814/-15, -7/-15, 154/-15, 1369/-15, -30118/-15, 49/-15, -1078/-15, -343/-15
78/9, 1/9, -8/9, 1/9, -8/9, -17/9, 136/9, 1/9, -8/9, 289/9, -2312/9, -4913/9
114/13, 1/13, -12/13, 1/13, -12/13, -25/13, 300/13, 1/13, -12/13, 625/13, -7500/13, -15625/13
-24/7, 1/7, -8/7, -1/7, 8/7, -15/7, 120/7, 1/7, -8/7, 225/7, -1800/7, -3375/7
-432/27, 1/27, 30/27, 57/27, 1710/27, 3/27, 90/27, 3249/27, 97470/27, 9/27, 270/27, 27/27
1500/24, 1/24, 10/24, 34/24, 340/24, -14/24, -140/24, 1156/24, 11560/24, 196/24, 1960/24, -2744/24
1143/-22, 1/-22, 9/-22, -13/-22, -117/-22, 31/-22, 279/-22, 169/-22, 1521/-22, 961/-22, 8649/-22, 29791/-22
-345/-11, 1/-11, 15/-11, 4/-11, 60/-11, 26/-11, 390/-11, 16/-11, 240/-11, 676/-11, 10140/-11, 17576/-11
810/17, 1/17, -6/17, 11/17, -66/17, -23/17, 138/17, 121/17, -726/17, 529/17, -3174/17, -12167/17
1608/23, 1/23, -4/23, 19/23, -76/23, -27/23, 108/23, 361/23, -1444/23, 729/23, -2916/23, -19683/23
1437/-25, 1/-25, 11/-25, -14/-25, -154/-25, 36/-25, 396/-25, 196/-25, 2156/-25, 1296/-25, 14256/-25, 46656/-25
-2484/8, 1/8, -30/8, -22/8, 660/8, -38/8, 1140/8, 484/8, -14520/8, 1444/8, -43320/8, -54872/8
-342/14, 1/14, -18/14, -4/14, 72/14, -32/14, 576/14, 16/14, -288/14, 1024/14, -18432/14, -32768/14
897/-20, 1/-20, -9/-20, -29/-20, 261/-20, 11/-20, -99/-20, 841/-20, -7569/-20, 121/-20, -1089/-20, 1331/-20
45/-16, 1/-16, -15/-16, -31/-16, 465/-16, 1/-16, -15/-16, 961/-16, -14415/-16, 1/-16, -15/-16, 1/-16
-294/-2, 1/-2, 10/-2, 8/-2, 80/-2, 12/-2, 120/-2, 64/-2, 640/-2, 144/-2, 1440/-2, 1728/-2
612/15, 1/15, -6/15, 9/15, -54/15, -21/15, 126/15, 81/15, -486/15, 441/15, -2646/15, -9261/15
-1482/13, 1/13, 26/13, 39/13, 1014/13, 13/13, 338/13, 1521/13, 39546/13, 169/13, 4394/13, 2197/13
1842/25, 1/25, 6/25, 31/25, 186/25, -19/25, -114/25, 961/25, 5766/25, 361/25, 2166/25, -6859/25
2220/-28, 1/-28, -4/-28, -32/-28, 128/-28, 24/-28, -96/-28, 1024/-28, -4096/-28, 576/-28, -2304/-28, 13824/-28
1875/25, 1/25, -5/25, 20/25, -100/25, -30/25, 150/25, 400/25, -2000/25, 900/25, -4500/25, -27000/25
-462/6, 1/6, 14/6, 20/6, 280/6, 8/6, 112/6, 400/6, 5600/6, 64/6, 896/6, 512/6
1092/19, 1/19, -4/19, 15/19, -60/19, -23/19, 92/19, 225/19, -900/19, 529/19, -2116/19, -12167/19
288/15, 1/15, 12/15, 27/15, 324/15, -3/15, -36/15, 729/15, 8748/15, 9/15, 108/15, -27/15
-1212/-20, 1/-20, -28/-20, -48/-20, 1344/-20, -8/-20, 224/-20, 2304/-20, -64512/-20, 64/-20, -1792/-20, -512/-20
1938/-26, 1/-26, -2/-26, -28/-26, 56/-26, 24/-26, -48/-26, 784/-26, -1568/-26, 576/-26, -1152/-26, 13824/-26
42/14, 1/14, -14/14, 0/14, 0/14, -28/14, 392/14, 0/14, 0/14, 784/14, -10976/14, -21952/14
-1194/-2, 1/-2, -20/-2, -22/-2, 440/-2, -18/-2, 360/-2, 484/-2, -9680/-2, 324/-2, -6480/-2, -5832/-2
2079/26, 1/26, 3/26, 29/26, 87/26, -23/26, -69/26, 841/26, 2523/26, 529/26, 1587/26, -12167/26
2433/28, 1/28, 1/28, 29/28, 29/28, -27/28, -27/28, 841/28, 841/28, 729/28, 729/28, -19683/28
141/8, 1/8, 5/8, 13/8, 65/8, -3/8, -15/8, 169/8, 845/8, 9/8, 45/8, -27/8
1638/-30, 1/-30, 18/-30, -12/-30, -216/-30, 48/-30, 864/-30, 144/-30, 2592/-30, 2304/-30, 41472/-30, 110592/-30
240/-28, 1/-28, 26/-28, -2/-28, -52/-28, 54/-28, 1404/-28, 4/-28, 104/-28, 2916/-28, 75816/-28, 157464/-28
267/-10, 1/-10, 1/-10, -9/-10, -9/-10, 11/-10, 11/-10, 81/-10, 81/-10, 121/-10, 121/-10, 1331/-10
1293/23, 1/23, -11/23, 12/23, -132/23, -34/23, 374/23, 144/23, -1584/23, 1156/23, -12716/23, -39304/23
2103/-27, 1/-27, -1/-27, -28/-27, 28/-27, 26/-27, -26/-27, 784/-27, -784/-27, 676/-27, -676/-27, 17576/-27
195/22, 1/22, 21/22, 43/22, 903/22, -1/22, -21/22, 1849/22, 38829/22, 1/22, 21/22, -1/22
-642/21, 1/21, 26/21, 47/21, 1222/21, 5/21, 130/21, 2209/21, 57434/21, 25/21, 650/21, 125/21
870/-18, 1/-18, -4/-18, -22/-18, 88/-18, 14/-18, -56/-18, 484/-18, -1936/-18, 196/-18, -784/-18, 2744/-18
255/10, 1/10, 5/10, 15/10, 75/10, -5/10, -25/10, 225/10, 1125/10, 25/10, 125/10, -125/10
-219/23, 1/23, -25/23, -2/23, 50/23, -48/23, 1200/23, 4/23, -100/23, 2304/23, -57600/23, -110592/23
618/-22, 1/-22, 16/-22, -6/-22, -96/-22, 38/-22, 608/-22, 36/-22, 576/-22, 1444/-22, 23104/-22, 54872/-22
-2640/-5, 1/-5, -30/-5, -35/-5, 1050/-5, -25/-5, 750/-5, 1225/-5, -36750/-5, 625/-5, -18750/-5, -15625/-5
-2154/13, 1/13, 30/13, 43/13, 1290/13, 17/13, 510/13, 1849/13, 55470/13, 289/13, 8670/13, 4913/13
222/-10, 1/-10, -4/-10, -14/-10, 56/-10, 6/-10, -24/-10, 196/-10, -784/-10, 36/-10, -144/-10, 216/-10
-1884/-17, 1/-17, -30/-17, -47/-17, 1410/-17, -13/-17, 390/-17, 2209/-17, -66270/-17, 169/-17, -5070/-17, -2197/-1
